Date,Time,Mode,Category,Subcategory,Type,Amount,Description
2024-05-20,21:13:32,Online Payment,Health,Doctor,Expense,1007.27,Require agree inside thank.
2023-05-10,04:40:50,Cash,Transport,Gas,Expense,1099.3,Require page claim future.
2023-05-24,04:45:16,Debit Card,Health,Gym,Expense,54.12,Truth ten seven both happy central group line.
2023-08-15,14:54:37,Credit Card,Shopping,Clothes,Expense,1417.3,Cultural whatever computer.
2023-10-05,17:54:30,Cash,Entertainment,Movie,Expense,1345.45,Herself among necessary alone improve.
2023-04-26,10:52:43,Debit Card,Transport,Train,Expense,266.92,Get car party close issue.
2023-05-14,20:02:47,Cash,Transport,Bus,Expense,1920.71,Politics religious back international.
2024-01-24,16:13:38,Credit Card,Shopping,Electronics,Expense,1096.04,College debate direction moment.
2024-04-05,15:03:51,Cash,Transport,Taxi,Expense,521.11,Tonight perhaps explain soldier range sort.
2024-06-18,11:15:12,Cash,Transport,Train,Expense,1106.4,Tonight garden maybe forward reason.
2024-06-16,23:37:53,Credit Card,Food,Coffee,Expense,1940.3,Figure they yeah get we memory who.
2023-05-20,15:56:31,Online Payment,Food,Coffee,Expense,1014.2,Challenge on plant wonder.
2024-05-23,02:02:08,Online Payment,Entertainment,Movie,Expense,1052.32,Recent positive daughter popular.
2023-08-11,12:24:47,Cash,Shopping,Electronics,Expense,1848.7,Read pass heart soldier action.
2024-06-01,16:44:40,Debit Card,Utilities,Internet,Expense,1803.46,Five put hard recent project speech director.
2022-11-09,18:18:25,Cash,Income,Investment,Income,2806.03,Still back task TV collection still support.
2024-05-21,13:44:21,Debit Card,Shopping,Home Goods,Expense,1062.53,Part decade remain if again care.
2023-05-06,13:18:00,Online Payment,Transport,Train,Expense,413.82,North trouble upon beautiful open free.
2023-08-06,03:07:44,Debit Card,Income,Freelance,Income,2967.63,Lose big strategy.
2023-07-24,00:20:41,Debit Card,Income,Freelance,Income,1772.15,Line Congress must city system story.
2022-10-28,19:57:49,Cash,Income,Investment,Income,1848.4,While long not improve.
2022-09-18,16:46:22,Online Payment,Health,Gym,Expense,1063.42,Director book cell speech catch ten statement.
2022-10-23,09:50:58,Online Payment,Entertainment,Movie,Expense,1007.91,Cup almost identify record own research blood.
2023-07-11,14:04:42,Online Payment,Food,Restaurant,Expense,688.51,Themselves gas best above dinner stuff.
2023-03-07,15:53:17,Credit Card,Transport,Gas,Expense,1937.88,Across great western unit begin.
2023-03-02,13:39:21,Debit Card,Shopping,Electronics,Expense,583.1,Difficult happen high serve discuss very.
2024-02-05,15:23:17,Debit Card,Health,Gym,Expense,1897.98,Process sit executive partner story budget great.
2024-05-13,23:45:13,Credit Card,Health,Gym,Expense,912.45,Prevent hear trouble it grow.
2023-05-16,22:34:58,Online Payment,Entertainment,Event,Expense,1925.73,Term look fact land general.
2023-01-14,08:43:27,Online Payment,Health,Pharmacy,Expense,884.13,Upon full director race.
2023-05-06,03:00:31,Cash,Food,Groceries,Expense,671.26,Left very your stock determine human find.
2023-01-05,12:50:15,Debit Card,Entertainment,Movie,Expense,1087.2,Range begin first through dinner whose worker.
2023-09-28,09:54:28,Credit Card,Entertainment,Event,Expense,1614.31,Image enjoy rise.
2022-11-24,07:40:38,Credit Card,Utilities,Electricity,Expense,1080.54,Something hair do analysis.
2023-05-02,23:34:37,Cash,Entertainment,Subscription,Expense,1239.56,Can start paper.
2024-06-16,06:24:27,Online Payment,Shopping,Clothes,Expense,1744.21,Scientist culture ability to.
2024-04-26,22:47:35,Online Payment,Entertainment,Movie,Expense,1085.05,Mr unit dinner indeed.
2023-07-12,04:37:19,Credit Card,Food,Groceries,Expense,577.8,Decision wish among west agreement girl.
2023-04-20,06:29:32,Credit Card,Health,Doctor,Expense,217.33,Political other begin war resource evening realize.
2023-11-03,22:25:44,Credit Card,Transport,Taxi,Expense,1904.52,Her of process cut.
2023-08-07,18:24:58,Credit Card,Income,Investment,Income,4488.37,Nice really listen meeting.
2023-06-21,22:08:22,Online Payment,Food,Groceries,Expense,1163.87,Lawyer fund indicate help.
2023-09-20,18:35:41,Cash,Utilities,Internet,Expense,883.33,Star tell law go simple improve.
2023-06-21,13:01:42,Online Payment,Entertainment,Event,Expense,1822.43,Need when simple.
2022-12-29,00:07:29,Cash,Entertainment,Event,Expense,1815.93,Education little direction exist president.
2023-10-17,15:35:28,Online Payment,Entertainment,Event,Expense,379.17,Range could usually piece but arrive garden.
2023-03-25,13:47:08,Debit Card,Health,Doctor,Expense,644.53,She light question in.
2022-12-05,12:15:28,Credit Card,Health,Pharmacy,Expense,943.94,Another way sign fund service stop.
2022-12-01,07:17:23,Credit Card,Food,Restaurant,Expense,1940.59,Consumer type Republican organization its plant.
2023-10-31,15:00:55,Credit Card,Transport,Taxi,Expense,1362.3,Up our allow maintain page fish room.
2022-07-09,05:49:22,Cash,Income,Salary,Income,1891.63,Care kitchen purpose difference.
2023-12-22,13:21:43,Cash,Utilities,Electricity,Expense,1781.85,International position write those full rate clear.
2023-09-14,16:47:41,Cash,Utilities,Internet,Expense,1186.2,Hospital wrong fish yeah attack detail.
2022-10-05,04:31:24,Debit Card,Health,Pharmacy,Expense,271.21,West hour less music.
2024-05-31,14:46:02,Cash,Utilities,Electricity,Expense,1306.36,Again debate take.
2023-10-06,18:36:29,Debit Card,Health,Pharmacy,Expense,797.53,Must plant whether protect most trade.
2023-03-05,15:56:47,Online Payment,Income,Salary,Income,2516.64,Mr bad wide manage address information serious.
2023-03-08,16:53:06,Credit Card,Health,Doctor,Expense,1627.04,Should dream whose.
2022-07-30,05:19:23,Cash,Food,Restaurant,Expense,1530.3,Happen letter body language there wonder him.
2024-02-08,21:49:46,Online Payment,Transport,Taxi,Expense,168.71,Direction opportunity very analysis firm once.
2023-07-20,06:55:05,Credit Card,Health,Pharmacy,Expense,278.82,Look floor role agency its professor while.
2024-02-20,23:43:25,Online Payment,Utilities,Internet,Expense,1547.3,Budget involve all.
2023-02-05,21:08:50,Debit Card,Income,Freelance,Income,981.52,Break factor pattern PM seat my.
2022-08-24,13:20:21,Cash,Entertainment,Movie,Expense,109.75,Need claim many against television former general.
2022-09-24,12:35:59,Debit Card,Food,Groceries,Expense,802.6,Individual so attack now minute technology only.
2023-07-20,10:57:16,Debit Card,Income,Investment,Income,3942.48,Subject development best student describe concern professional.
2023-01-03,00:15:23,Debit Card,Income,Investment,Income,4379.28,Participant seat give especially win.
2023-04-05,15:45:25,Cash,Utilities,Electricity,Expense,1240.27,Democratic stock worker everybody professor.
2024-02-26,08:21:15,Credit Card,Utilities,Electricity,Expense,342.21,Produce foreign the site.
2023-03-17,15:20:55,Debit Card,Entertainment,Subscription,Expense,545.87,Particularly factor boy Republican.
2022-12-12,11:43:38,Online Payment,Food,Coffee,Expense,916.83,Get last increase mother important ball woman.
2023-03-17,03:18:38,Cash,Health,Pharmacy,Expense,1714.96,Drop join recognize all structure.
2023-11-16,07:52:07,Cash,Income,Investment,Income,2317.07,That product first natural.
2023-02-17,19:23:16,Debit Card,Entertainment,Subscription,Expense,252.07,Support realize cause others skill.
2023-05-30,05:05:25,Credit Card,Shopping,Electronics,Expense,1280.18,Different week treat mouth threat remain interest college.
2022-08-17,20:13:32,Online Payment,Entertainment,Event,Expense,1324.91,Himself draw final station tough whether address.
2024-02-14,21:04:28,Online Payment,Food,Restaurant,Expense,1345.23,Including month matter environmental issue recently until.
2022-11-13,11:58:07,Debit Card,Health,Gym,Expense,225.4,Ground eat determine feeling certainly necessary economy.
2022-07-30,23:33:57,Online Payment,Income,Salary,Income,1944.69,Ten return understand relate church.
2024-02-17,04:34:55,Cash,Entertainment,Event,Expense,802.32,Thing ok collection easy.
2024-03-01,07:13:04,Cash,Health,Pharmacy,Expense,1407.92,Reveal so suggest.
2022-08-26,08:02:36,Online Payment,Utilities,Electricity,Expense,1779.13,Herself hold his moment.
2022-09-27,22:06:43,Debit Card,Utilities,Internet,Expense,63.23,Mouth tonight throw action.
2024-02-09,12:59:27,Cash,Transport,Gas,Expense,1050.75,Late every include generation how risk.
2024-06-01,21:35:22,Debit Card,Food,Groceries,Expense,1697.44,Only scientist teach seven.
2022-08-19,19:44:18,Cash,Utilities,Internet,Expense,749.57,Really eat report to.
2023-12-04,17:48:24,Credit Card,Utilities,Internet,Expense,1076.87,Phone meeting add challenge project happen white maybe.
2023-12-25,23:30:05,Cash,Utilities,Water,Expense,204.53,Against southern very talk.
2023-10-24,04:04:53,Credit Card,Utilities,Water,Expense,1029.95,List key little fast speak tree.
2023-04-06,02:21:19,Credit Card,Utilities,Water,Expense,1822.84,Herself official receive may push serious successful country.
2022-12-24,12:29:11,Credit Card,Food,Restaurant,Expense,310.97,Cold cell our series mother treat structure.
2023-11-23,11:08:09,Debit Card,Entertainment,Movie,Expense,1058.83,Else feeling trade money smile create.
2023-01-24,23:20:30,Credit Card,Utilities,Internet,Expense,779.7,Adult others talk without.
2022-07-09,04:40:19,Debit Card,Entertainment,Subscription,Expense,1791.9,Peace trade product participant.
2023-02-01,23:04:36,Cash,Shopping,Electronics,Expense,1383.12,Again trouble cold.
2024-05-14,02:20:06,Credit Card,Health,Gym,Expense,1161.46,Hotel matter guy great old.
2024-03-07,19:35:37,Credit Card,Transport,Bus,Expense,755.9,Should add mother.
2023-04-09,06:07:18,Cash,Income,Salary,Income,1093.56,That himself floor somebody many.
2022-11-03,21:05:03,Credit Card,Utilities,Internet,Expense,558.29,Measure only wait technology town approach today all.
2023-11-24,07:45:53,Online Payment,Income,Salary,Income,1219.3,Maybe information forward trouble.
2024-06-27,10:45:12,Cash,Utilities,Water,Expense,1219.93,Research fund catch without prevent.
2023-02-07,18:01:20,Debit Card,Shopping,Electronics,Expense,167.33,Participant form time back sound city blue.
2023-01-26,04:27:54,Cash,Income,Salary,Income,4848.75,Part instead city type short rather.
2024-03-31,23:17:18,Cash,Food,Coffee,Expense,833.48,Once born control white.
2023-02-22,16:46:25,Credit Card,Shopping,Clothes,Expense,746.98,Range international everybody book.
2023-04-11,05:07:29,Cash,Shopping,Electronics,Expense,1957.2,Soon account part wind well thousand impact.
2024-03-08,14:12:20,Online Payment,Shopping,Clothes,Expense,891.95,Finish star be.
2023-05-09,06:54:34,Debit Card,Shopping,Electronics,Expense,1890.33,See different decide trip total another site car.
2024-01-27,20:16:00,Cash,Income,Freelance,Income,4529.05,Image throughout western world area.
2024-04-18,15:11:24,Debit Card,Shopping,Clothes,Expense,1353.0,Certainly walk camera debate western store office.
2023-02-17,23:39:47,Credit Card,Transport,Bus,Expense,336.27,Deep range ten television model.
2024-03-04,22:14:37,Credit Card,Entertainment,Subscription,Expense,908.92,Police choice cell.
2024-02-20,01:53:08,Cash,Income,Salary,Income,2909.61,Voice boy forward science.
2023-03-17,23:03:48,Debit Card,Entertainment,Movie,Expense,856.67,Official artist health effect forward magazine.
2023-08-29,21:20:13,Online Payment,Entertainment,Subscription,Expense,1455.12,Ball keep since my.
2023-09-10,02:33:21,Online Payment,Shopping,Electronics,Expense,497.86,Available despite popular stock memory challenge audience.
2022-11-07,04:12:33,Credit Card,Utilities,Electricity,Expense,219.7,Popular break attention environment few voice.
2024-05-14,05:01:27,Online Payment,Transport,Gas,Expense,571.75,I spring season toward level generation since.
2022-08-07,00:40:00,Online Payment,Health,Gym,Expense,1951.89,Sit hand society according off little.
2023-04-20,04:55:16,Online Payment,Entertainment,Subscription,Expense,1863.35,During agency meet window now always hand game.
2023-07-21,12:48:38,Credit Card,Shopping,Electronics,Expense,969.37,Ability possible door pressure sea thought.
2023-12-21,08:29:43,Cash,Transport,Bus,Expense,1855.17,Two seven lose probably.
2024-06-28,09:02:18,Debit Card,Entertainment,Movie,Expense,1194.15,Receive rate oil defense agree lawyer.
2023-11-04,14:07:10,Online Payment,Utilities,Water,Expense,1202.39,Particularly firm foreign involve.
2024-02-26,14:10:14,Cash,Food,Coffee,Expense,718.06,Mention hot happy far.
2022-12-20,00:11:01,Online Payment,Shopping,Home Goods,Expense,174.71,Movie tend those walk draw.
2023-03-28,03:51:43,Online Payment,Income,Freelance,Income,1455.95,Focus century service nearly.
2023-08-29,06:10:30,Online Payment,Utilities,Internet,Expense,738.41,Boy two look reality outside painting report become.
2023-07-29,18:31:34,Online Payment,Food,Groceries,Expense,977.91,Hope memory government image room.
2022-08-11,10:19:06,Debit Card,Entertainment,Event,Expense,133.55,Page clear newspaper ball may.
2023-12-25,13:21:31,Online Payment,Shopping,Clothes,Expense,181.06,Sport summer sea record recent approach.
2024-06-18,04:33:03,Online Payment,Shopping,Clothes,Expense,318.66,Free civil entire result.
2023-06-14,05:28:10,Credit Card,Utilities,Water,Expense,235.75,Tonight table loss detail put risk yet.
2024-03-13,17:19:43,Online Payment,Health,Doctor,Expense,1111.43,Media adult process message.
2024-01-29,02:28:13,Credit Card,Health,Gym,Expense,164.72,Too dog among believe.
2024-07-02,02:51:59,Credit Card,Transport,Gas,Expense,1431.53,Before open hot campaign throughout.
2024-06-28,09:12:18,Debit Card,Transport,Bus,Expense,1650.47,When thing everyone city contain week carry.
2024-05-19,17:21:56,Credit Card,Income,Freelance,Income,2629.14,Many field same even bad.
2024-06-05,19:34:22,Cash,Food,Restaurant,Expense,1152.28,Wind consider that admit Mrs look.
2022-10-15,13:51:33,Cash,Transport,Bus,Expense,1033.7,Bank result peace reality evidence.
2023-10-17,12:25:00,Credit Card,Shopping,Clothes,Expense,15.28,About century debate officer about.
2022-10-15,18:39:35,Credit Card,Income,Investment,Income,653.32,Mrs me wear prove lead professional kind.
2024-07-08,22:19:13,Credit Card,Utilities,Internet,Expense,969.62,Push country glass evening much.
2023-02-13,06:03:15,Online Payment,Food,Restaurant,Expense,1244.84,Need assume heart west training.
2022-09-20,19:36:48,Cash,Utilities,Water,Expense,569.26,Resource truth leave institution.
2024-06-04,16:27:28,Online Payment,Utilities,Electricity,Expense,956.51,Crime social school enter wind heavy anything.
2024-04-16,23:46:08,Debit Card,Entertainment,Event,Expense,517.55,Near sign Republican notice prevent figure.
2023-06-18,09:53:38,Credit Card,Health,Gym,Expense,1522.68,Write decision data wrong best I medical.
2023-07-06,21:21:06,Debit Card,Food,Groceries,Expense,1067.67,Allow do believe her.
2022-09-01,19:08:56,Online Payment,Transport,Gas,Expense,412.12,Moment despite before under between.
2022-10-18,09:30:12,Online Payment,Shopping,Home Goods,Expense,717.91,Nearly mind perform over ten.
2024-06-17,09:25:39,Online Payment,Health,Pharmacy,Expense,96.8,Policy owner ahead generation shoulder day popular.
2022-12-09,16:38:00,Credit Card,Shopping,Electronics,Expense,1157.53,Military deep according door line.
2023-10-21,15:10:56,Credit Card,Entertainment,Event,Expense,1370.68,Hot scene view today father.
2023-12-12,04:27:42,Debit Card,Entertainment,Event,Expense,1473.11,Buy many partner pressure discover carry TV drive.
2022-07-22,18:12:14,Debit Card,Utilities,Water,Expense,885.44,Century suddenly have quality break.
2023-03-15,11:14:42,Debit Card,Income,Freelance,Income,2736.12,Growth specific court yes.
2023-08-18,21:43:27,Cash,Health,Doctor,Expense,998.87,Prepare scene house central baby picture.
2022-11-06,13:28:50,Online Payment,Health,Pharmacy,Expense,1527.51,Store majority choice chance of.
2023-01-30,04:46:17,Credit Card,Food,Groceries,Expense,1396.06,Bring citizen kid support interest.
2022-11-25,07:08:37,Credit Card,Entertainment,Movie,Expense,123.47,Seek of radio positive better.
2023-07-27,08:19:25,Cash,Income,Investment,Income,3835.54,Amount team raise operation letter employee one.
2024-01-05,18:59:25,Debit Card,Food,Groceries,Expense,236.22,Class personal quickly ok road military.
2023-07-29,10:40:46,Credit Card,Utilities,Internet,Expense,997.23,During difficult religious push the ten will summer.
2024-03-29,05:45:09,Debit Card,Entertainment,Subscription,Expense,1158.53,Concern black believe performance officer election information among.
2022-09-05,11:57:55,Credit Card,Entertainment,Movie,Expense,632.57,Around four PM hospital against fast drop.
2024-03-02,17:49:39,Credit Card,Shopping,Clothes,Expense,972.51,Result easy mission laugh wind action economy official.
2023-09-07,12:55:46,Cash,Shopping,Home Goods,Expense,1230.8,Resource pretty write under fear knowledge.
2023-11-14,21:32:03,Cash,Food,Groceries,Expense,81.92,Song energy simple be certain.
2022-07-29,23:28:19,Online Payment,Shopping,Clothes,Expense,1290.62,Appear since experience perform interest particularly notice.
2023-08-14,04:45:35,Online Payment,Entertainment,Subscription,Expense,1171.26,Study environment style remain.
2022-12-09,16:41:11,Cash,Utilities,Water,Expense,599.88,Enter identify participant environmental them really debate.
2023-01-28,20:20:07,Debit Card,Health,Pharmacy,Expense,333.24,Price job follow result.
2022-12-05,17:18:58,Credit Card,Entertainment,Movie,Expense,458.59,Single camera political economic seven treatment.
2023-06-16,23:35:40,Debit Card,Health,Doctor,Expense,1463.48,Into job half black because song.
2022-10-18,14:10:18,Debit Card,Income,Salary,Income,2265.94,Wear modern red.
2023-11-29,14:22:31,Debit Card,Transport,Gas,Expense,1631.32,Hotel result instead push fast.
2022-11-18,15:44:34,Cash,Transport,Bus,Expense,328.9,Money newspaper question a certain.
2022-09-19,10:18:29,Cash,Utilities,Electricity,Expense,884.35,Laugh cup hear prove leave national.
2024-07-06,23:41:12,Cash,Health,Doctor,Expense,1046.74,Address above form debate name may.
2023-02-27,16:28:03,Online Payment,Transport,Gas,Expense,993.76,Name eye article TV.
2022-10-03,05:18:01,Credit Card,Income,Salary,Income,1001.73,Know close election stop.
2022-11-16,16:58:49,Cash,Entertainment,Subscription,Expense,636.42,Agree her whether beyond bar shoulder decade.
2024-01-21,09:58:19,Online Payment,Health,Pharmacy,Expense,149.34,Leg organization nice happy international.
2024-03-26,23:58:00,Debit Card,Utilities,Electricity,Expense,1470.95,Inside water do get finish pick shake level.
2024-02-07,17:53:17,Debit Card,Food,Coffee,Expense,891.02,General simple cost develop left.
2023-11-20,05:26:29,Online Payment,Health,Pharmacy,Expense,1072.14,Listen small reflect put again big.
2024-01-26,01:14:40,Debit Card,Food,Groceries,Expense,24.32,Cup home record forward.
2022-10-20,06:56:54,Online Payment,Food,Restaurant,Expense,1120.55,Including level well kid activity note attention.
2022-10-19,17:54:09,Cash,Food,Coffee,Expense,725.06,Rest really wait if.
2023-02-10,10:40:29,Debit Card,Health,Gym,Expense,431.6,Into name response garden.
2024-06-18,10:58:13,Cash,Food,Coffee,Expense,68.95,Pattern story term show industry.
2024-01-06,06:01:18,Cash,Transport,Taxi,Expense,1016.19,Ask although get poor herself.
2023-11-21,06:59:50,Debit Card,Food,Restaurant,Expense,86.22,Executive will network physical play.
2023-12-14,13:22:45,Debit Card,Income,Freelance,Income,3547.14,Human station truth house.
2024-06-22,00:33:25,Debit Card,Health,Gym,Expense,735.66,Return few natural fight stand one significant get.
2023-06-03,03:52:39,Cash,Shopping,Clothes,Expense,92.73,Financial race wrong discuss agency fund.
2022-11-28,18:26:16,Online Payment,Entertainment,Event,Expense,236.14,Simply concern page director.
2022-11-25,08:29:39,Online Payment,Utilities,Internet,Expense,1907.58,Would truth join issue face key when.
2022-08-07,18:27:28,Debit Card,Food,Groceries,Expense,1737.17,Citizen to produce list run safe figure.
2023-05-08,23:34:55,Debit Card,Food,Restaurant,Expense,1398.62,Star forward leave art practice stock detail value.
2023-11-13,03:44:56,Cash,Shopping,Clothes,Expense,491.14,Until help attention American some before according.
2023-03-05,14:28:41,Credit Card,Health,Pharmacy,Expense,475.49,Almost amount themselves.
2024-05-13,12:03:29,Cash,Utilities,Internet,Expense,461.57,Power one after score career big remember.
2023-10-23,14:01:58,Credit Card,Food,Restaurant,Expense,1697.45,Cut beyond maintain bag.
2023-07-11,14:19:52,Credit Card,Transport,Taxi,Expense,468.6,Would road collection big talk role instead.
2022-10-17,23:25:29,Online Payment,Income,Freelance,Income,1637.15,Media along these easy role yes to more.
2023-03-17,23:09:37,Credit Card,Food,Coffee,Expense,1930.03,National training drug really check if since.
2023-04-17,04:45:22,Cash,Food,Groceries,Expense,580.16,Wall measure again ability election.
2023-12-20,07:41:44,Credit Card,Income,Salary,Income,1072.82,Present carry break majority low.
2022-10-14,00:31:50,Debit Card,Entertainment,Subscription,Expense,1073.92,Stage the common prevent spend.
2023-03-17,15:35:20,Credit Card,Food,Coffee,Expense,1456.45,Believe soldier certain edge couple break provide drug.
2024-03-20,22:59:00,Debit Card,Income,Investment,Income,1397.88,Whatever simple wrong newspaper.
2022-08-02,00:44:50,Debit Card,Entertainment,Movie,Expense,953.27,Discuss almost serious Mr sing city.
2023-01-28,02:37:33,Online Payment,Entertainment,Movie,Expense,32.66,Reveal yet possible account question.
2023-01-01,06:55:51,Online Payment,Income,Investment,Income,1652.51,Effect unit state plant.
2022-11-18,12:19:24,Credit Card,Shopping,Home Goods,Expense,405.27,The particular available expect really.
2022-08-11,00:07:56,Debit Card,Utilities,Internet,Expense,1431.71,Air parent forget.
